strikePrice,expiryDate,PE/strikePrice,PE/expiryDate,PE/underlying,PE/identifier,PE/openInterest,PE/changeinOpenInterest,PE/pchangeinOpenInterest,PE/totalTradedVolume,PE/impliedVolatility,PE/lastPrice,PE/change,PE/pChange,PE/totalBuyQuantity,PE/totalSellQuantity,PE/bidQty,PE/bidprice,PE/askQty,PE/askPrice,PE/underlyingValue,CE/strikePrice,CE/expiryDate,CE/underlying,CE/identifier,CE/openInterest,CE/changeinOpenInterest,CE/pchangeinOpenInterest,CE/totalTradedVolume,CE/impliedVolatility,CE/lastPrice,CE/change,CE/pChange,CE/totalBuyQuantity,CE/totalSellQuantity,CE/bidQty,CE/bidprice,CE/askQty,CE/askPrice,CE/underlyingValue,date,time
4600,31-Dec-20,4600,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE4600.00,28,0,0,0,0,3.05,0,0,2925,75,750,1.15,75,3.05,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
5000,31-Dec-20,5000,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE5000.00,335,0,0,0,0,4.95,0,0,3525,0,600,3.05,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
5500,31-Dec-20,5500,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE5500.00,9,0,0,0,0,3.6,0,0,4350,0,1500,1.5,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
6000,31-Dec-20,6000,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE6000.00,803,0,0,0,0,4.6,0,0,4425,975,525,3.55,75,6.8,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
6000,25-Mar-21,6000,25-Mar-21,NIFTY,OPTIDXNIFTY25-03-2021PE6000.00,2,0,0,0,0,153.15,0,0,6600,0,2100,3.05,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
6000,24-Jun-21,6000,24-Jun-21,NIFTY,OPTIDXNIFTY24-06-2021PE6000.00,4,0,0,0,0,3.05,0,0,6000,0,1500,3.05,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
6500,31-Dec-20,6500,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE6500.00,62,0,0,0,0,5,0,0,3600,0,2100,3.05,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
7000,31-Dec-20,7000,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE7000.00,1751,0,0,1,65.42,3.05,-1.75,-36.45833333,32025,0,10650,3.85,0,0,12780.25,7000,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020CE7000.00,14,0,0,0,0,5600,0,0,8625,4875,4875,4959.25,4875,6414.3,12780.25,Nov-15-2020,13:11:09
7500,29-Dec-22,7500,29-Dec-22,NIFTY,OPTIDXNIFTY29-12-2022PE7500.00,14,0,0,0,0,235,0,0,3750,0,750,18.3,0,0,12780.25,,,,,,,,,,,,,,,,,,,,Nov-15-2020,13:11:09
7500,31-Dec-20,7500,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020PE7500.00,5585,0,0,0,0,5.15,0,0,22650,0,17100,3.05,0,0,12780.25,7500,31-Dec-20,NIFTY,OPTIDXNIFTY31-12-2020CE7500.00,18,0,0,0,0,5747.3,0,0,8625,4875,4875,4509.25,4875,5863.05,12780.25,Nov-15-2020,13:11:09
